Name,Peak net worth (in millions of 2010 U.S. dollars [11][10,Political part [10,Years in office,Lifespan,Name,Peak net worth (in millions of 2010 U.S. dollars [11][10
George Washington,525,None,1789–1797,1732–1799,,
John Adams,19,Federalist,1797–1801,1735–1826,,
Thomas Jefferson,212,Democratic-Republican,1801–1809,1743–1826,,
James Madison,101,Democratic-Republican,1809–1817,1751–1836,,
James Monroe,27,Democratic-Republican,1817–1825,1758–1831,,
John Quincy Adams,21,Democratic-Republican,1825–1829,1767–1848,,
Andrew Jackson,119,Democratic,1829–1837,1767–1845,,
Martin Van Buren,26,Democratic,1837–1841,1782–1862,,
William Henry Harrison,5,Whig,1841–1841,1773–1841,,
John Tyler,51,Whig,1841–1845,1790–1862,,
James K. Polk,10,Democratic,1845–1849,1795–1849,,
Zachary Taylor,6,Whig,1849–1850,1784–1850,,
Millard Fillmore,4,Whig,1850–1853,1800–1874,,
Franklin Pierce,2,Democratic,1853–1857,1804–1869,,
James Buchanan,1,Democratic,1857–1861,1791–1868,,
Abraham Lincoln,1,Republican,1861–1865,1809–1865,,
Andrew Johnson,1,National Union/Democratic,1865–1869,1808–1875,,
Ulysses S. Grant,1,Republican,1869–1877,1822–1885,,
Rutherford B. Hayes,3,Republican,1877–1881,1822–1893,,
James Garfield,1,Republican,1881–1881,1831–1881,,
Chester A. Arthur,1,Republican,1881–1885,1829–1886,,
Grover Cleveland,25,Democratic,"1885–1889
1893–1897",1837–1908,,
Benjamin Harrison,5,Republican,1889–1893,1833–1901,,
William McKinley,1,Republican,1897–1901,1843–1901,,
Theodore Roosevelt,125,Republican,1901–1909,1858–1919,,
William Howard Taft,3,Republican,1909–1913,1857–1930,,
Woodrow Wilson,1,Democratic,1913–1921,1856–1924,,
Warren G. Harding,1,Republican,1921–1923,1865–1923,,
Calvin Coolidge,1,Republican,1923–1929,1872–1933,,
Herbert Hoover,75,Republican,1929–1933,1874–1964,,
Franklin D. Roosevelt,60,Democratic,1933–1945,1882–1945,,
Harry S. Truman,1,Democratic,1945–1953,1884–1972,,
Dwight Eisenhower,8,Republican,1953–1961,1890–1969,,
John F. Kennedy,100,Democratic,1961–1963,1917–1963,,
Lyndon Johnson,98,Democratic,1963–1969,1908–1973,,
Richard Nixon,15,Republican,1969–1974,1913–1994,,
Gerald Ford,7,Republican,1974–1977,1913–2006,,
Jimmy Carter,7,Democratic,1977–1981,1924–present,,
Ronald Reagan,13,Republican,1981–1989,1911–2004,,
George H. W. Bush,23,Republican,1989–1993,1924–present,,
Bill Clinton,55,Democratic,1993–2001,1946–present,,
George W. Bush,20,Republican,2001–2009,1946–present,,
Barack Obama,7,Democratic,2009–present,1961–present,,
,,,,,,